station_id,name
S0000,Beijingnan Railway Station
S0001,Changshanan Railway Station
S0002,Guangzhounan Railway Station
S0003,Hangzhoudong Railway Station
S0004,Hengyangdong Railway Station
S0005,Humen Railway Station
S0006,Jinanxi Railway Station
S0007,Jinhua Railway Station
S0008,Lechangdong Railway Station
S0009,Nanchangxi Railway Station
S0010,Nanjingnan Railway Station
S0011,Shanghaihongqiao Railway Station
S0012,Shangrao Railway Station
S0013,Shaoguan Railway Station
S0014,Shenzhenbei Railway Station
S0015,Wuhan Railway Station
S0016,Xianggangxijiulong Railway Station
S0017,Xianningbei Railway Station
S0018,Yimianpobei Railway Station
